Station,Site_Name,Agency_Name,Lat,Lon,SRadius,MERRALat,MERRALon,IDXi,IDXj,PS,QV10m,Q500,Q850,T10m,T500,T850,WIND,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,NISMASS25,TOTEXTTAU,UTC_DATE,UTC_TIME
26,Bordeaux,,44.837789,-0.57918,10.4,44.75,-0.625,540,575,101499.84,6.4809,0.18125,0.00405149,284.436,252.199,276.436,4.574,0.51502,1.94391,2.05663,1.23202,0.91166,0.29411,0.50327,0.089,20250410,0130
27,Brasilia,,-15.7975154,-47.8918874,10.0,-15.75,-47.812,298,424,90451.63,14.6789,4.58021,0.012440685,295.237,267.813,287.237,1.597,0.36882,0.70153,4.80136,1.45577,0.47993,0.60286,0.00704,0.058,20250410,0130
28,Bratislava,,48.1485965,17.1077478,12.7,48.25,17.188,554,632,98732.19,4.30328,0.66941,0.0037677775,279.484,249.148,271.484,5.589,0.64719,2.09464,2.09746,11.38432,2.95942,0.15162,2.59864,0.243,20250410,0130
29,Brazzaville,,-4.2633597,15.2428853,7.9,-4.25,15.312,344,626,94704.55,17.16785,3.61658,0.013114527,297.492,268.919,289.492,1.017,0.84843,34.1604,6.99732,1.26745,0.63486,0.54663,0.00351,0.188,20250410,0130
30,Bridgetown,,13.1059816,-59.6131741,14.3,13.0,-59.688,413,386,101598.16,17.24855,3.58522,0.012421785,300.043,266.259,292.043,7.487,0.12383,6.52999,0.9623,0.17093,0.57612,7.67615,0.00012,0.157,20250410,0130
31,Brussels,,50.8476424,4.3571696,10.9,50.75,4.375,564,591,102606.75,4.7427,0.84076,0.0013713693,278.095,254.764,270.095,3.332,0.56856,2.29704,1.26634,2.36957,3.79832,1.58536,1.56674,0.226,20250410,0130
32,Bucharest,,44.4267674,26.1025384,14.3,44.5,26.25,539,661,100762.66,4.08059,0.36523,0.0020492494,274.883,245.723,266.883,0.561,0.3988,0.80631,1.42276,1.66917,2.83311,0.0905,2.42345,0.19,20250410,0130
33,Budapest,,47.497912,19.040235,1.7,47.5,19.062,551,638,99065.555,3.84783,0.63838,0.0034383433,279.857,246.057,271.857,5.51,0.71191,1.75874,2.45805,5.80239,1.72046,0.16011,1.68089,0.228,20250410,0130
032BAA010002,Buenos_Aires,U.S. Department of State Argentina - Buenos Aires,-34.6036844,-58.3815591,12.6,-34.5,-58.438,223,390,101693.81,11.54571,0.14186,0.008568787,292.657,263.625,284.657,7.482,0.02942,0.64859,0.47793,0.10547,0.41112,9.55853,0.00693,0.092,20250410,0130
34,Bujumbura,,-3.361378,29.3598782,12.5,-3.25,29.375,348,671,82264.85,13.12242,2.63034,--,289.964,269.14,281.964,1.073,4.26262,11.06108,15.90494,1.9373,1.02895,0.10193,0.06871,0.137,20250410,0130
35,Busan,,35.1795543,129.0756416,7.9,35.25,129.062,502,990,99683.36,7.64864,0.28875,0.006049508,289.396,252.363,281.396,2.157,2.99215,7.77175,8.75573,40.51682,15.45552,0.80197,0.9613,0.989,20250410,0130
818EGY010001,Cairo,U.S. Department of State Egypt - Cairo,30.04147,31.23289,5.1,30.0,31.25,481,677,100413.97,7.11509,0.12043,0.004126933,287.09,258.172,279.09,3.348,0.46111,5.4953,1.12657,15.6033,2.49964,1.75349,1.3205,0.135,20250410,0130
CC0090222,Calgary,,51.0814,-114.1403,5.0,51.0,-114.062,565,212,90191.12,3.83246,0.27714,0.0026468523,283.28,244.397,275.28,2.541,0.27157,0.19717,0.53146,7.72728,0.38782,0.00905,0.0,0.063,20250410,0130
38,Canberra,,-35.2809368,149.1300092,7.0,-35.25,149.062,220,1054,93987.16,6.08979,2.03362,0.0056952816,294.361,258.285,286.361,3.746,0.21238,0.47523,2.5192,2.17164,1.00134,0.91608,0.0003,0.078,20250410,0130
39,Cape_Town,,-33.9248685,18.4240553,8.4,-34.0,18.438,225,636,99822.83,10.84788,1.07846,0.008433105,290.691,263.046,282.691,2.174,0.90529,0.71296,3.3501,4.94785,2.17387,2.14756,0.03876,0.039,20250410,0130
40,Caracas,,10.4805937,-66.9036063,3.8,10.5,-66.875,403,363,100884.16,18.31356,4.00782,0.011155998,298.882,268.994,290.882,5.107,0.10414,7.15773,1.30066,0.47338,0.63796,8.01013,0.00209,0.175,20250410,0130
41,Cartagena,,10.3932277,-75.4832311,19.5,10.5,-75.625,403,335,100815.375,19.28066,1.48227,0.011842617,300.093,269.388,292.093,7.091,0.19419,14.31041,1.38371,1.43324,3.43849,14.61327,0.0017,0.273,20250410,0130
42,Casablanca,,33.5731104,-7.5898434,11.6,33.5,-7.5,495,553,99490.01,7.25242,1.17608,0.0052625337,293.499,256.336,285.499,1.087,0.30937,6.88218,1.16392,13.5669,5.43815,1.67955,0.1665,0.622,20250410,0130
43,CATANO,,18.4465,66.1356,13.5,18.5,66.25,435,789,100925.484,17.86448,0.11097,0.003263002,300.941,266.226,292.941,5.482,0.57575,3.43554,3.35682,0.32775,3.69361,3.39973,0.00165,0.37,20250410,0130
44,Ceiba__Vega_Baja,,18.4425245,-66.3562141,12.9,18.5,-66.25,435,365,101706.734,16.90484,0.26398,0.0125899445,300.316,267.882,292.316,6.562,0.09905,5.22405,0.79918,0.25005,0.63626,6.50148,0.00097,0.111,20250410,0130
356DS1010002,Chennai,U.S. Department of State India - Chennai,13.08784,80.278475,10.2,13.0,80.312,413,834,100836.12,19.4778,1.41695,0.010407059,301.17,268.667,293.17,4.815,3.5315,1.33051,10.20131,7.05925,2.81377,5.98971,0.07024,0.428,20250410,0130
45,Chiang_Mai,,18.7883439,98.9853008,9.2,18.75,99.062,436,894,91976.69,11.8238,2.72681,0.009584875,298.799,267.401,290.799,0.415,3.67823,2.05834,41.81335,1.76818,10.75578,0.05956,0.14933,0.873,20250410,0130
498MLD010001,Chisinau,U.S. Department of State Moldova - Chisinau,47.021561,28.81938,8.7,47.0,28.75,549,669,99779.46,2.73128,0.51281,0.001962605,272.699,244.129,264.699,3.669,0.66701,0.62992,2.07771,2.68549,0.48023,0.06746,3.21952,0.18,20250410,0130
46,Ciudad_Juarez,,31.6903638,-106.4245478,14.6,31.75,-106.562,488,236,87466.445,3.04107,0.33859,0.0016929606,299.938,261.847,291.938,1.723,0.35625,2.65283,1.8139,0.70249,0.6983,0.16689,5e-05,0.066,20250410,0130
144CMB010001,Colombo,U.S. Department of State Sri Lanka - Colombo,6.909445,79.875341,17.3,7.0,80.0,389,833,98584.57,18.41068,1.9559,0.012659442,297.408,270.12,289.408,0.768,2.04989,2.49277,12.8116,7.53618,7.41009,6.53959,0.20561,0.705,20250410,0130
324GN1010001,Conakry,U.S. Department of State Guinea - Conakry,9.5951,-13.6364,19.6,9.75,-13.438,399,533,99911.12,16.69811,3.10421,0.012830736,297.805,268.005,289.805,0.673,1.79282,16.25701,15.11812,0.73292,3.05183,3.02109,0.02866,0.552,20250410,0130
47,Copenhagen,,55.6760968,12.5683372,9.3,55.75,12.5,584,617,101873.11,3.52591,0.9761,0.0010864502,276.522,254.067,268.522,3.14,0.1278,1.87274,0.41411,0.76785,0.20562,0.69588,0.24721,0.066,20250410,0130
48,Cotonou,,6.3702928,2.3912362,18.0,6.25,2.5,386,585,100749.0,19.38549,1.89678,0.013488835,300.376,269.317,292.376,2.414,0.9115,35.41941,3.85354,1.02346,0.78163,4.31588,0.00105,0.369,20250410,0130
49,CULEBRA,,29.4874353,-98.6681378,8.0,29.5,-98.75,479,261,97681.68,7.22688,0.69852,0.0042526997,295.428,261.584,287.428,3.628,0.96306,2.72214,4.09903,3.36403,2.08453,0.39151,0.00028,0.112,20250410,0130
531CUR010001,Curacao,U.S. Department of State Curacao,12.16957,-68.99002,11.9,12.25,-69.062,410,356,101334.25,18.91376,2.31804,0.010259096,300.391,269.293,292.391,9.582,0.06846,5.64707,0.59413,0.26898,0.62636,10.90402,0.00038,0.14,20250410,0130
686SEN010001,Dakar,U.S. Department of State Senegal - Dakar,14.744791,-17.526484,5.1,14.75,-17.5,420,521,101072.4,13.00859,0.75885,0.0046525253,292.992,265.814,284.992,5.743,0.03497,0.71012,0.36876,1.44853,1.2835,7.31287,0.00171,0.268,20250410,0130
51,Dar_es_Salaam,,-6.792354,39.2083284,16.8,-6.75,39.062,334,702,101059.69,19.08782,1.65777,0.011218322,301.293,268.44,293.293,4.131,0.15853,0.10385,0.88311,0.17989,0.21404,3.71175,0.00016,0.061,20250410,0130
682DRN010000,Dhahran,U.S. Department of State Saudi Arabia - Dhahran,26.2361248,50.0393017,4.2,26.25,50.0,466,737,100667.21,10.74149,0.22971,0.0044080764,299.53,266.104,291.53,3.528,0.31197,29.4196,2.3186,98.34506,20.49085,0.50497,0.05278,0.293,20250410,0130
DK1010001,Dhaka,U.S. Department of State Bangladesh - Dhaka,23.796374,90.424614,12.2,23.75,90.312,456,866,100792.78,12.35515,0.42146,0.011821017,300.295,265.078,292.295,3.233,2.56112,1.30038,18.72149,5.40036,2.79797,1.44247,0.3174,0.442,20250410,0130
52,Dili,,-8.5568557,125.5603143,9.5,-8.5,125.625,327,979,100934.28,17.42195,4.18763,0.012421358,301.629,269.299,293.629,0.563,0.13526,1.82347,1.41571,0.42776,0.93039,1.93767,0.00045,0.059,20250410,0130
53,Djibouti_City,,11.5720765,43.1456475,8.3,11.5,43.125,407,715,101038.086,18.20817,0.5784,0.0019129533,299.686,268.417,291.686,4.548,0.46029,6.63309,2.81471,0.02017,3.6012,2.47248,0.01116,0.268,20250410,0130
634QA1010001,Doha,U.S. Department of State Qatar - Doha,25.3337,51.22953,5.1,25.25,51.562,462,741,100607.21,10.39817,0.23645,0.0013896972,298.287,266.415,290.287,2.914,0.27581,33.43593,1.60192,24.1594,20.54906,1.09069,0.10121,0.242,20250410,0130
55,Douala,,4.0510564,9.7678687,10.6,4.0,9.688,377,608,99821.03,19.21096,3.61518,0.014614122,298.147,268.423,290.147,0.506,1.04346,63.18218,7.92542,1.31696,1.01061,3.79822,0.00487,0.781,20250410,0130
784DB1010001,Dubai,U.S. Department of State UAE - Dubai,25.258481,55.309165,6.5,25.25,55.312,462,754,100496.25,11.88177,0.28818,0.004954934,296.358,265.085,288.358,0.763,2.07577,51.28431,4.62376,53.35752,6.57366,3.99819,0.32568,0.262,20250410,0130
